nome,quantidade
"""ELO 3+003MG CX 21 COMP"",",1
"""ENEMIN 7 BISNAGAS X 6",1
"""ENO PROBIOTICO 1",1
"""ENOXALOW 60MG 100MG/ML SOL INJ 10X0",1
"""ENX BUC LISTERINE COOL MINT LV1",1
"""EPIDUO 03 C/45G"",",1
"""EQUIPO MAC BACT INFUSET T500W FILTRO15M INJ LAT 1",1
"""ESMA IMPALA BL NETFLIX BRAND NOVELE ESCANDAL6X1"",",1
"""ESMALTE IMPALA BL APRTA PLAY PEGA A BATIDA 7",1
"""ESMALTE IMPALA BL APRTA PLAY TREME TUDO 7",1
"""ESMALTE IMPALA BL NOW UNITED PARANA EH"",",1
"""ESP 2",1
"""ESP CREMER 10X4",1
"""ESP CREMER 12X4,5 BRANCO"",",1
"""ESP CREMER 5X45 BRANCO"",",1
"""ESPARADRAPO 05 X 45 HIPOALERGENICO"",",1
"""ESPARADRAPO 2",1
"""ESPARADRAPO IMPERM 2",1
"""ESSENCIA EXPLODIU GOSTEI PLURI 00000000296413""",1
"""ESSENCIA NOSSA MUITO EU PLURI 00000000296414""",1
"""ESSENCIA QUEM DIRIA VIDA PLURI 00000000278210""",1
"""EUCERIN GEL LIMP PH5 2604G""",1
"""EXFORGE HCT 160+12",1
"""FEMINIQUE 20 3+002MG C/24CP REV"",",1
"""FEMINIQUE CONTI 3+003MG 28COMP"",",1
"""FEMINIQUE30 3+003MG C/21 CP REV"",",1
"""FENAZIC 7",1
"""FIBREMS 3",1
"""FILTRUM COLOR FPS70 COR 30 50G"",",1
"""FITA CIR. MICROPOROSA BEGE 25 X 4,5"",",1
"""FITA CIRURG MICROPOROSA BEGE 10CMX4",1
"""FITA MICROPORE SHOW DA LUNA 2",1
"""FITA MICROPOROSA 2",1
"""FITA MICROPOROSA BEGE 5CMX4",1
"""FITA MICROPOROSA BRANCA 50CMX4,5M CREMER""",1
"""FITA TRANSPARENTE 2",1
"""FLOGORAL LAR COLUTORIO 1",1
"""FLOGORAL MENT COLUTORIO 1",1
"""FLUTIVATE 05 MG/G CREME 30G-OUTROS"",",1
"""FLUX SR 1",1
"""FOSFOMICINA 5",1
"""FOSMORYL 5",1
"""FRITADEIRA MONDIAL AIR FRYER AFN-50-BI GR FAM INOX 50L 220V"",",1
"""FRONTAL 0",1
"""FRONTAL 025MG C/30 COMP"",",1
"""FRONTAL XR 05 MG 30 CPR"",",1
